outer_fold,subject_id,seed,adaptation,OUTER_TEST_USED
0,13,4247693392,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
0,14,3819241247,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
0,19,1428912560,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
0,2,3601556834,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
0,32,137190957,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
0,33,2567061044,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
0,36,1944516374,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
0,40,3872974622,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
0,47,1217567325,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
0,50,3975455558,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
0,53,516880330,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
1,1,3451376900,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
1,10,1817768358,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
1,16,3210294317,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
1,25,335046408,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
1,35,2606107174,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
1,42,1877816406,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
1,43,600782026,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
1,45,140150207,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
1,48,311801476,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
1,5,364670369,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
1,6,3234539116,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
2,18,851826988,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
2,22,3074816031,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
2,26,3416007837,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
2,29,2417386178,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
2,34,1979661103,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
2,4,2220145265,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
2,44,1019898516,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
2,51,1851172957,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
2,52,465498407,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
2,54,246610185,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
2,7,2869790511,"{'strategy': 'tail', 'lr': 0.0003, 'epochs': 10}",False
3,15,3904741695,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
3,17,3910597706,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
3,20,2426849336,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
3,21,1379501478,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
3,24,1469178042,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
3,27,197375491,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
3,28,508377099,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
3,38,672835934,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
3,41,2580120719,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
3,46,2110180995,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
3,9,1411972396,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0}",False
4,11,882183194,"{'strategy': 'tail', 'lr': 0.0001, 'epochs': 10}",False
4,12,188940822,"{'strategy': 'tail', 'lr': 0.0001, 'epochs': 10}",False
4,23,3826622640,"{'strategy': 'tail', 'lr': 0.0001, 'epochs': 10}",False
4,3,761181646,"{'strategy': 'tail', 'lr': 0.0001, 'epochs': 10}",False
4,30,1751045414,"{'strategy': 'tail', 'lr': 0.0001, 'epochs': 10}",False
4,31,1628170873,"{'strategy': 'tail', 'lr': 0.0001, 'epochs': 10}",False
4,37,2566592963,"{'strategy': 'tail', 'lr': 0.0001, 'epochs': 10}",False
4,39,2582505326,"{'strategy': 'tail', 'lr': 0.0001, 'epochs': 10}",False
4,49,615151296,"{'strategy': 'tail', 'lr': 0.0001, 'epochs': 10}",False
4,8,3238455820,"{'strategy': 'tail', 'lr': 0.0001, 'epochs': 10}",False
