benchmark,outer_fold,method_id,family,configuration,discovery_BA,discovery_NLL,candidate_count,target_future_labels_used_for_fit,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,A_GENERIC_AFFINE,logistic,"{""C"": 0.0003}",0.7744444444444445,0.4874449370261591,11,False,False
OpenBMI_MI_S1_to_S2,0,A_GENERIC_BILINEAR,logistic,"{""C"": 0.0003}",0.7677777777777778,0.49539935464643897,11,False,False
OpenBMI_MI_S1_to_S2,0,A_RANDOM_PROTECTED_CONTROL,mlp,"{""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""selected_epoch"": 85, ""weight_decay"": 0.001}",0.7722222222222223,0.8045227606263425,11,False,False
OpenBMI_MI_S1_to_S2,0,PERSIST_SA_PROTECTED_BILINEAR,logistic,"{""C"": 0.0003}",0.7766666666666667,0.49163548845411015,11,False,False
OpenBMI_MI_S1_to_S2,1,A_GENERIC_AFFINE,logistic,"{""C"": 0.3}",0.7222222222222222,0.7265846283782537,11,False,False
OpenBMI_MI_S1_to_S2,1,A_GENERIC_BILINEAR,mlp,"{""dropout"": 0.3, ""hidden"": 128, ""lr"": 0.0005, ""selected_epoch"": 10, ""weight_decay"": 0.01}",0.7255555555555556,0.5800208946069082,11,False,False
OpenBMI_MI_S1_to_S2,1,A_RANDOM_PROTECTED_CONTROL,mlp,"{""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.001, ""selected_epoch"": 10, ""weight_decay"": 0.001}",0.7255555555555557,0.5753241313828362,11,False,False
OpenBMI_MI_S1_to_S2,1,PERSIST_SA_PROTECTED_BILINEAR,mlp,"{""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.001, ""selected_epoch"": 5, ""weight_decay"": 0.001}",0.7333333333333334,0.602792266342375,11,False,False
OpenBMI_MI_S1_to_S2,2,A_GENERIC_AFFINE,mlp,"{""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""selected_epoch"": 5, ""weight_decay"": 0.001}",0.7822222222222224,0.49845019314024186,11,False,False
OpenBMI_MI_S1_to_S2,2,A_GENERIC_BILINEAR,mlp,"{""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""selected_epoch"": 5, ""weight_decay"": 0.001}",0.7811111111111111,0.4877713819344838,11,False,False
OpenBMI_MI_S1_to_S2,2,A_RANDOM_PROTECTED_CONTROL,logistic,"{""C"": 0.001}",0.7766666666666667,0.5112125282927642,11,False,False
OpenBMI_MI_S1_to_S2,2,PERSIST_SA_PROTECTED_BILINEAR,mlp,"{""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.001, ""selected_epoch"": 5, ""weight_decay"": 0.001}",0.7844444444444445,0.529553065697352,11,False,False
OpenBMI_MI_S1_to_S2,3,A_GENERIC_AFFINE,mlp,"{""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""selected_epoch"": 5, ""weight_decay"": 0.001}",0.8177777777777778,0.43676333957248265,11,False,False
OpenBMI_MI_S1_to_S2,3,A_GENERIC_BILINEAR,logistic,"{""C"": 0.0003}",0.8144444444444443,0.42794813462919956,11,False,False
OpenBMI_MI_S1_to_S2,3,A_RANDOM_PROTECTED_CONTROL,mlp,"{""dropout"": 0.1, ""hidden"": 32, ""lr"": 0.001, ""selected_epoch"": 5, ""weight_decay"": 0.001}",0.8177777777777778,0.4266272717052036,11,False,False
OpenBMI_MI_S1_to_S2,3,PERSIST_SA_PROTECTED_BILINEAR,mlp,"{""dropout"": 0.3, ""hidden"": 128, ""lr"": 0.0005, ""selected_epoch"": 10, ""weight_decay"": 0.01}",0.8211111111111111,0.42475413531064987,11,False,False
OpenBMI_MI_S1_to_S2,4,A_GENERIC_AFFINE,mlp,"{""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.001, ""selected_epoch"": 5, ""weight_decay"": 0.001}",0.7955555555555556,0.5023131734795041,11,False,False
OpenBMI_MI_S1_to_S2,4,A_GENERIC_BILINEAR,mlp,"{""dropout"": 0.3, ""hidden"": 128, ""lr"": 0.0005, ""selected_epoch"": 10, ""weight_decay"": 0.01}",0.7955555555555555,0.4992069403330485,11,False,False
OpenBMI_MI_S1_to_S2,4,A_RANDOM_PROTECTED_CONTROL,mlp,"{""dropout"": 0.2, ""hidden"": 64, ""lr"": 0.001, ""selected_epoch"": 5, ""weight_decay"": 0.001}",0.7877777777777778,0.5064645359913508,11,False,False
OpenBMI_MI_S1_to_S2,4,PERSIST_SA_PROTECTED_BILINEAR,mlp,"{""dropout"": 0.3, ""hidden"": 128, ""lr"": 0.0005, ""selected_epoch"": 5, ""weight_decay"": 0.01}",0.7855555555555556,0.5081679539548026,11,False,False
