benchmark,outer_fold,dimension,protected_importance,random_control_importance,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,71,0.7940642035130224,0.0,False
OpenBMI_MI_S1_to_S2,0,72,0.0,0.0,False
OpenBMI_MI_S1_to_S2,0,73,0.0,0.0,False
OpenBMI_MI_S1_to_S2,0,74,0.47910357359176264,0.09145972138098124,False
OpenBMI_MI_S1_to_S2,0,75,0.13991520290732892,0.7334948516050878,False
OpenBMI_MI_S1_to_S2,0,76,0.7698364627498486,0.41853422168382803,False
OpenBMI_MI_S1_to_S2,0,77,0.0,0.0,False
OpenBMI_MI_S1_to_S2,0,78,0.30950938824954577,0.0,False
OpenBMI_MI_S1_to_S2,0,79,0.23682616596002423,0.5275590551181102,False
OpenBMI_MI_S1_to_S2,0,80,0.1520290732889158,0.5639006662628709,False
OpenBMI_MI_S1_to_S2,0,81,0.8182919442761962,0.07934585099939435,False
OpenBMI_MI_S1_to_S2,0,82,0.0,0.0,False
OpenBMI_MI_S1_to_S2,0,83,0.9878861296184132,0.16414294367050278,False
OpenBMI_MI_S1_to_S2,0,84,0.8304058146577832,0.7819503331314356,False
OpenBMI_MI_S1_to_S2,0,85,0.9030890369473047,0.6729254996971533,False
OpenBMI_MI_S1_to_S2,0,86,0.34585099939430647,0.0,False
OpenBMI_MI_S1_to_S2,0,87,0.16414294367050278,0.9636583888552394,False
OpenBMI_MI_S1_to_S2,0,88,0.0,0.6365838885523925,False
OpenBMI_MI_S1_to_S2,0,89,0.0,0.5033313143549365,False
OpenBMI_MI_S1_to_S2,0,90,0.21259842519685046,0.9030890369473047,False
OpenBMI_MI_S1_to_S2,0,91,0.709267110841914,0.0,False
OpenBMI_MI_S1_to_S2,0,92,0.8546335554209569,0.0,False
OpenBMI_MI_S1_to_S2,0,93,0.10357359176256814,0.32162325863113267,False
OpenBMI_MI_S1_to_S2,0,94,0.0,0.4669897032101756,False
OpenBMI_MI_S1_to_S2,0,95,0.0,0.7213809812235009,False
OpenBMI_MI_S1_to_S2,0,96,0.28528164748637197,0.40642035130224113,False
OpenBMI_MI_S1_to_S2,0,97,0.17625681405208968,0.24894003634161113,False
OpenBMI_MI_S1_to_S2,0,98,0.32162325863113267,0.38219261053906733,False
OpenBMI_MI_S1_to_S2,0,99,0.6971532404603271,0.0,False
OpenBMI_MI_S1_to_S2,0,100,0.0,0.0,False
OpenBMI_MI_S1_to_S2,0,101,0.4669897032101756,0.0,False
OpenBMI_MI_S1_to_S2,0,102,0.0,0.006662628709872809,False
OpenBMI_MI_S1_to_S2,0,103,1.0,0.0,False
OpenBMI_MI_S1_to_S2,0,104,0.7577225923682616,0.0,False
OpenBMI_MI_S1_to_S2,0,105,0.04300423985463358,0.0,False
OpenBMI_MI_S1_to_S2,0,106,0.11568746214415512,0.47910357359176264,False
OpenBMI_MI_S1_to_S2,0,107,0.0,0.22471229557843736,False
OpenBMI_MI_S1_to_S2,0,108,0.0,0.576014536644458,False
OpenBMI_MI_S1_to_S2,0,109,0.0,0.0,False
OpenBMI_MI_S1_to_S2,0,110,0.0,0.0,False
OpenBMI_MI_S1_to_S2,0,111,0.0,0.551786795881284,False
OpenBMI_MI_S1_to_S2,0,112,0.0,0.9152029073288915,False
OpenBMI_MI_S1_to_S2,0,113,0.49121744397334954,0.17625681405208968,False
OpenBMI_MI_S1_to_S2,0,114,0.6608116293155663,0.9273167777104785,False
OpenBMI_MI_S1_to_S2,0,115,0.37007874015748027,0.0,False
OpenBMI_MI_S1_to_S2,0,116,0.576014536644458,0.0,False
OpenBMI_MI_S1_to_S2,0,117,0.6123561477892187,0.4548758328285887,False
OpenBMI_MI_S1_to_S2,0,118,0.006662628709872809,0.6123561477892187,False
OpenBMI_MI_S1_to_S2,0,119,0.7334948516050878,0.0,False
OpenBMI_MI_S1_to_S2,0,120,0.39430648092065423,0.39430648092065423,False
OpenBMI_MI_S1_to_S2,0,121,0.22471229557843736,0.0,False
