method_id,mean_subject_BA,protected_coordinate_preserved,adaptable_coordinate_aligned,certified_harmful_coordinate_suppressed,synthetic_only,OUTER_TEST_USED
persist_selective,0.9757500000000002,True,True,True,True,False
adapt_only,0.6425,True,True,False,True,False
blanket_erasure,0.49899999999999994,False,False,False,True,False
raw,0.3745,True,False,False,True,False
