benchmark,outer_fold,method_id,configuration,protection,strength,mean_outcome_parameter_change,target_future_labels_used_for_fit,OUTER_TEST_USED,order,discovery_BA,discovery_NLL,mean_parameter_change
OpenBMI_MI_S1_to_S2,0,FT_FROZEN_EEGNET,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",none,0.0,0.0,False,False,,,,
OpenBMI_MI_S1_to_S2,0,FT_GENERIC_SELECTED,"{""augment"": false, ""epochs"": 10, ""lr"": 0.0001, ""strategy"": ""full""}",none,0.0,0.0059867306104437875,False,False,,,,
OpenBMI_MI_S1_to_S2,0,FT_UNIFORM_L2_CONTROL,"{""augment"": false, ""epochs"": 10, ""lr"": 0.0001, ""strategy"": ""full""}",uniform,1000.0,0.0056572203439745035,False,False,,,,
OpenBMI_MI_S1_to_S2,0,FT_RANDOM_FISHER_CONTROL,"{""augment"": false, ""epochs"": 10, ""lr"": 0.0001, ""strategy"": ""full""}",random_fisher,1000.0,0.005925670901144093,False,False,,,,
OpenBMI_MI_S1_to_S2,0,PERSIST_SA_FISHER_PROTECTED,"{""augment"": false, ""epochs"": 10, ""lr"": 0.0001, ""strategy"": ""full""}",fisher,1000.0,0.005850404543294148,False,False,,,,
OpenBMI_MI_S1_to_S2,0,GENERIC_CANDIDATE,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",,,,False,False,0.0,0.78,0.4930202282137341,0.0
OpenBMI_MI_S1_to_S2,0,GENERIC_CANDIDATE,"{""augment"": false, ""epochs"": 1, ""lr"": 0.0, ""strategy"": ""adabn""}",,,,False,False,1.0,0.7766666666666667,0.48171862794293296,0.0
OpenBMI_MI_S1_to_S2,0,GENERIC_CANDIDATE,"{""augment"": false, ""epochs"": 10, ""lr"": 0.001, ""strategy"": ""head""}",,,,False,False,2.0,0.7666666666666666,0.4443996482425266,0.2437333216269811
OpenBMI_MI_S1_to_S2,0,GENERIC_CANDIDATE,"{""augment"": false, ""epochs"": 30, ""lr"": 0.0003, ""strategy"": ""head""}",,,,False,False,3.0,0.7733333333333333,0.43908870302968556,0.18965398603015476
OpenBMI_MI_S1_to_S2,0,GENERIC_CANDIDATE,"{""augment"": false, ""epochs"": 10, ""lr"": 0.0001, ""strategy"": ""tail""}",,,,False,False,4.0,0.7688888888888888,0.4639137229985661,0.005719050299376249
OpenBMI_MI_S1_to_S2,0,GENERIC_CANDIDATE,"{""augment"": false, ""epochs"": 10, ""lr"": 0.0003, ""strategy"": ""tail""}",,,,False,False,5.0,0.7677777777777778,0.45018598685661954,0.012717800525327524
OpenBMI_MI_S1_to_S2,0,GENERIC_CANDIDATE,"{""augment"": true, ""epochs"": 30, ""lr"": 0.0001, ""strategy"": ""tail""}",,,,False,False,6.0,0.7633333333333332,0.46222928249173695,0.011668542037821479
OpenBMI_MI_S1_to_S2,0,GENERIC_CANDIDATE,"{""augment"": false, ""epochs"": 10, ""lr"": 3e-05, ""strategy"": ""spatial_tail""}",,,,False,False,7.0,0.7744444444444445,0.46313998020357555,0.002255679302227994
OpenBMI_MI_S1_to_S2,0,GENERIC_CANDIDATE,"{""augment"": false, ""epochs"": 10, ""lr"": 0.0001, ""strategy"": ""spatial_tail""}",,,,False,False,8.0,0.7811111111111111,0.4538603284292751,0.006061233890553315
OpenBMI_MI_S1_to_S2,0,GENERIC_CANDIDATE,"{""augment"": true, ""epochs"": 30, ""lr"": 3e-05, ""strategy"": ""spatial_tail""}",,,,False,False,9.0,0.7633333333333334,0.4597539065612687,0.004751549335196614
OpenBMI_MI_S1_to_S2,0,GENERIC_CANDIDATE,"{""augment"": false, ""epochs"": 10, ""lr"": 1e-05, ""strategy"": ""full""}",,,,False,False,10.0,0.77,0.46936340381701785,0.0007271551423602634
