dataset,subject,method,base_correct_new_correct,base_correct_new_wrong,base_wrong_new_correct,base_wrong_new_wrong,fix_rate,break_rate,net_correction
OpenBMI,13,GENERIC_RESIDUAL,77,0,0,23,0.0,0.0,0.0
OpenBMI,14,GENERIC_RESIDUAL,71,0,0,29,0.0,0.0,0.0
OpenBMI,19,GENERIC_RESIDUAL,70,0,0,30,0.0,0.0,0.0
OpenBMI,2,GENERIC_RESIDUAL,80,0,0,20,0.0,0.0,0.0
OpenBMI,32,GENERIC_RESIDUAL,76,0,0,24,0.0,0.0,0.0
OpenBMI,33,GENERIC_RESIDUAL,94,0,1,5,0.01,0.0,0.01
OpenBMI,36,GENERIC_RESIDUAL,98,0,0,2,0.0,0.0,0.0
OpenBMI,40,GENERIC_RESIDUAL,80,0,0,20,0.0,0.0,0.0
OpenBMI,47,GENERIC_RESIDUAL,93,0,0,7,0.0,0.0,0.0
OpenBMI,50,GENERIC_RESIDUAL,58,0,0,42,0.0,0.0,0.0
OpenBMI,53,GENERIC_RESIDUAL,80,0,0,20,0.0,0.0,0.0
OpenBMI,13,GENERIC_PROTOTYPE_RESIDUAL,77,0,0,23,0.0,0.0,0.0
OpenBMI,14,GENERIC_PROTOTYPE_RESIDUAL,71,0,0,29,0.0,0.0,0.0
OpenBMI,19,GENERIC_PROTOTYPE_RESIDUAL,70,0,0,30,0.0,0.0,0.0
OpenBMI,2,GENERIC_PROTOTYPE_RESIDUAL,80,0,0,20,0.0,0.0,0.0
OpenBMI,32,GENERIC_PROTOTYPE_RESIDUAL,76,0,0,24,0.0,0.0,0.0
OpenBMI,33,GENERIC_PROTOTYPE_RESIDUAL,94,0,1,5,0.01,0.0,0.01
OpenBMI,36,GENERIC_PROTOTYPE_RESIDUAL,98,0,0,2,0.0,0.0,0.0
OpenBMI,40,GENERIC_PROTOTYPE_RESIDUAL,80,0,0,20,0.0,0.0,0.0
OpenBMI,47,GENERIC_PROTOTYPE_RESIDUAL,93,0,0,7,0.0,0.0,0.0
OpenBMI,50,GENERIC_PROTOTYPE_RESIDUAL,58,0,0,42,0.0,0.0,0.0
OpenBMI,53,GENERIC_PROTOTYPE_RESIDUAL,80,0,0,20,0.0,0.0,0.0
OpenBMI,13,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,77,0,0,23,0.0,0.0,0.0
OpenBMI,14,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,71,0,0,29,0.0,0.0,0.0
OpenBMI,19,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,70,0,0,30,0.0,0.0,0.0
OpenBMI,2,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,79,1,0,20,0.0,0.01,-0.01
OpenBMI,32,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,76,0,0,24,0.0,0.0,0.0
OpenBMI,33,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,94,0,1,5,0.01,0.0,0.01
OpenBMI,36,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,98,0,0,2,0.0,0.0,0.0
OpenBMI,40,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,80,0,0,20,0.0,0.0,0.0
