dataset,method,selected_epoch,validation_subjects,train_subjects,validation_BA,parameter_count,state_path,initial_residual_max_abs
OpenBMI,GENERIC_RESIDUAL,1,"['11', '20', '25', '31', '39', '4', '46']","['12', '15', '16', '18', '21', '22', '23', '24', '26', '27', '29', '30', '34', '35', '37', '38', '41', '42', '43', '44', '49', '5', '51', '52', '7', '8', '9']",0.8542857142857142,1074,D:\nips-temp\TotalP\P1\CRCICLR_INCREMENTAL_RELATION_V3\experiments\persist_eeg_incremental_relation_pilot_v3\runtime\OpenBMI_fold0\GENERIC_RESIDUAL.pt,0.0
OpenBMI,GENERIC_PROTOTYPE_RESIDUAL,1,"['11', '20', '25', '31', '39', '4', '46']","['12', '15', '16', '18', '21', '22', '23', '24', '26', '27', '29', '30', '34', '35', '37', '38', '41', '42', '43', '44', '49', '5', '51', '52', '7', '8', '9']",0.8542857142857142,1106,D:\nips-temp\TotalP\P1\CRCICLR_INCREMENTAL_RELATION_V3\experiments\persist_eeg_incremental_relation_pilot_v3\runtime\OpenBMI_fold0\GENERIC_PROTOTYPE_RESIDUAL.pt,0.0
OpenBMI,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,1,"['11', '20', '25', '31', '39', '4', '46']","['12', '15', '16', '18', '21', '22', '23', '24', '26', '27', '29', '30', '34', '35', '37', '38', '41', '42', '43', '44', '49', '5', '51', '52', '7', '8', '9']",0.8542857142857142,1014,D:\nips-temp\TotalP\P1\CRCICLR_INCREMENTAL_RELATION_V3\experiments\persist_eeg_incremental_relation_pilot_v3\runtime\OpenBMI_fold0\CROSS_SUBJECT_SESSION_RELATION_RESIDUAL.pt,0.0
WBCIC,GENERIC_RESIDUAL,1,"['17', '26', '34', '47', '6']","['12', '14', '22', '23', '24', '25', '29', '30', '31', '32', '35', '38', '41', '42', '48', '49', '50', '7', '9']",0.7899472361809046,1074,D:\nips-temp\TotalP\P1\CRCICLR_INCREMENTAL_RELATION_V3\experiments\persist_eeg_incremental_relation_pilot_v3\runtime\WBCIC_fold0\GENERIC_RESIDUAL.pt,0.0
WBCIC,GENERIC_PROTOTYPE_RESIDUAL,5,"['17', '26', '34', '47', '6']","['12', '14', '22', '23', '24', '25', '29', '30', '31', '32', '35', '38', '41', '42', '48', '49', '50', '7', '9']",0.7909497487437185,1106,D:\nips-temp\TotalP\P1\CRCICLR_INCREMENTAL_RELATION_V3\experiments\persist_eeg_incremental_relation_pilot_v3\runtime\WBCIC_fold0\GENERIC_PROTOTYPE_RESIDUAL.pt,0.0
WBCIC,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,5,"['17', '26', '34', '47', '6']","['12', '14', '22', '23', '24', '25', '29', '30', '31', '32', '35', '38', '41', '42', '48', '49', '50', '7', '9']",0.7909522613065326,1014,D:\nips-temp\TotalP\P1\CRCICLR_INCREMENTAL_RELATION_V3\experiments\persist_eeg_incremental_relation_pilot_v3\runtime\WBCIC_fold0\CROSS_SUBJECT_SESSION_RELATION_RESIDUAL.pt,0.0
