dataset,relation_vs_generic_residual_pp,relation_vs_generic_prototype_pp,relation_delta_vs_B0_pp,interpretation
OpenBMI,-0.09090909090909098,-0.09090909090909098,0.0,generic_or_no_clear_gain
WBCIC,0.05555555555555561,1.2335811384723961e-15,0.05555555555555561,relation_specific
