dataset,fold,seed,subject,method,B0_BA,method_BA,delta_BA_pp,B0_Macro_F1,method_Macro_F1,delta_Macro_F1_pp
WBCIC,0,0,3,GENERIC_RESIDUAL,0.8500000000000001,0.8500000000000001,0.0,0.8497596153846154,0.8497596153846154,0.0
WBCIC,0,0,33,GENERIC_RESIDUAL,0.935,0.935,0.0,0.9349853717086345,0.9349853717086345,0.0
WBCIC,0,0,37,GENERIC_RESIDUAL,0.835,0.835,0.0,0.8349958748968724,0.8349958748968724,0.0
WBCIC,0,0,5,GENERIC_RESIDUAL,0.76,0.76,0.0,0.7596153846153846,0.7596153846153846,0.0
WBCIC,0,0,1,GENERIC_PROTOTYPE_RESIDUAL,0.9299999999999999,0.9299999999999999,0.0,0.9299929992999301,0.9299929992999301,0.0
WBCIC,0,0,16,GENERIC_PROTOTYPE_RESIDUAL,0.53,0.5349999999999999,0.49999999999998934,0.5283018867924528,0.5330270392407923,0.4725152448339487
WBCIC,0,0,19,GENERIC_PROTOTYPE_RESIDUAL,0.96,0.96,0.0,0.96,0.96,0.0
WBCIC,0,0,21,GENERIC_PROTOTYPE_RESIDUAL,0.8300000000000001,0.8300000000000001,0.0,0.8297275641025641,0.8297275641025641,0.0
WBCIC,0,0,28,GENERIC_PROTOTYPE_RESIDUAL,0.595,0.595,0.0,0.5874818568409259,0.5874818568409259,0.0
WBCIC,0,0,3,GENERIC_PROTOTYPE_RESIDUAL,0.8500000000000001,0.8500000000000001,0.0,0.8497596153846154,0.8497596153846154,0.0
WBCIC,0,0,33,GENERIC_PROTOTYPE_RESIDUAL,0.935,0.935,0.0,0.9349853717086345,0.9349853717086345,0.0
WBCIC,0,0,37,GENERIC_PROTOTYPE_RESIDUAL,0.835,0.835,0.0,0.8349958748968724,0.8349958748968724,0.0
WBCIC,0,0,5,GENERIC_PROTOTYPE_RESIDUAL,0.76,0.76,0.0,0.7596153846153846,0.7596153846153846,0.0
WBCIC,0,0,1,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,0.9299999999999999,0.9299999999999999,0.0,0.9299929992999301,0.9299929992999301,0.0
WBCIC,0,0,16,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,0.53,0.525,-0.5000000000000004,0.5283018867924528,0.5215431492533555,-0.6758737539097281
WBCIC,0,0,19,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,0.96,0.96,0.0,0.96,0.96,0.0
WBCIC,0,0,21,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,0.8300000000000001,0.8300000000000001,0.0,0.8297275641025641,0.8297275641025641,0.0
WBCIC,0,0,28,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,0.595,0.605,1.0000000000000009,0.5874818568409259,0.5987301587301588,1.124830188923287
WBCIC,0,0,3,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,0.8500000000000001,0.8500000000000001,0.0,0.8497596153846154,0.8497596153846154,0.0
WBCIC,0,0,33,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,0.935,0.935,0.0,0.9349853717086345,0.9349853717086345,0.0
WBCIC,0,0,37,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,0.835,0.835,0.0,0.8349958748968724,0.8349958748968724,0.0
WBCIC,0,0,5,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,0.76,0.76,0.0,0.7596153846153846,0.7596153846153846,0.0
