dataset,method,parameter_count
OpenBMI,GENERIC_RESIDUAL,1074
OpenBMI,GENERIC_PROTOTYPE_RESIDUAL,1106
OpenBMI,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,1014
WBCIC,GENERIC_RESIDUAL,1074
WBCIC,GENERIC_PROTOTYPE_RESIDUAL,1106
WBCIC,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,1014
