dataset,fold,seed,method,subject_id,BA,Macro_F1,trials
OpenBMI,0,0,SUBJECT_BALANCED_ERM,13,0.77,0.7699769976997699,100
OpenBMI,0,0,SUBJECT_BALANCED_ERM,14,0.71,0.7076318177235609,100
OpenBMI,0,0,SUBJECT_BALANCED_ERM,19,0.7,0.6847414880201765,100
OpenBMI,0,0,SUBJECT_BALANCED_ERM,2,0.8,0.8,100
OpenBMI,0,0,SUBJECT_BALANCED_ERM,32,0.76,0.7591328783621036,100
OpenBMI,0,0,SUBJECT_BALANCED_ERM,33,0.94,0.9399038461538461,100
OpenBMI,0,0,SUBJECT_BALANCED_ERM,36,0.98,0.9799919967987194,100
OpenBMI,0,0,SUBJECT_BALANCED_ERM,40,0.8,0.7999199679871949,100
OpenBMI,0,0,SUBJECT_BALANCED_ERM,47,0.9299999999999999,0.9298245614035088,100
OpenBMI,0,0,SUBJECT_BALANCED_ERM,50,0.5800000000000001,0.5625,100
OpenBMI,0,0,SUBJECT_BALANCED_ERM,53,0.8,0.797979797979798,100
OpenBMI,0,0,GENERIC_RESIDUAL,13,0.77,0.7699769976997699,100
OpenBMI,0,0,GENERIC_RESIDUAL,14,0.71,0.7076318177235609,100
OpenBMI,0,0,GENERIC_RESIDUAL,19,0.7,0.6847414880201765,100
OpenBMI,0,0,GENERIC_RESIDUAL,2,0.8,0.8,100
OpenBMI,0,0,GENERIC_RESIDUAL,32,0.76,0.7591328783621036,100
OpenBMI,0,0,GENERIC_RESIDUAL,33,0.95,0.9499549594635172,100
OpenBMI,0,0,GENERIC_RESIDUAL,36,0.98,0.9799919967987194,100
OpenBMI,0,0,GENERIC_RESIDUAL,40,0.8,0.7999199679871949,100
OpenBMI,0,0,GENERIC_RESIDUAL,47,0.9299999999999999,0.9298245614035088,100
OpenBMI,0,0,GENERIC_RESIDUAL,50,0.5800000000000001,0.5625,100
OpenBMI,0,0,GENERIC_RESIDUAL,53,0.8,0.797979797979798,100
OpenBMI,0,0,GENERIC_PROTOTYPE_RESIDUAL,13,0.77,0.7699769976997699,100
OpenBMI,0,0,GENERIC_PROTOTYPE_RESIDUAL,14,0.71,0.7076318177235609,100
OpenBMI,0,0,GENERIC_PROTOTYPE_RESIDUAL,19,0.7,0.6847414880201765,100
OpenBMI,0,0,GENERIC_PROTOTYPE_RESIDUAL,2,0.8,0.8,100
OpenBMI,0,0,GENERIC_PROTOTYPE_RESIDUAL,32,0.76,0.7591328783621036,100
OpenBMI,0,0,GENERIC_PROTOTYPE_RESIDUAL,33,0.95,0.9499549594635172,100
OpenBMI,0,0,GENERIC_PROTOTYPE_RESIDUAL,36,0.98,0.9799919967987194,100
OpenBMI,0,0,GENERIC_PROTOTYPE_RESIDUAL,40,0.8,0.7999199679871949,100
OpenBMI,0,0,GENERIC_PROTOTYPE_RESIDUAL,47,0.9299999999999999,0.9298245614035088,100
OpenBMI,0,0,GENERIC_PROTOTYPE_RESIDUAL,50,0.5800000000000001,0.5625,100
OpenBMI,0,0,GENERIC_PROTOTYPE_RESIDUAL,53,0.8,0.797979797979798,100
OpenBMI,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,13,0.77,0.7699769976997699,100
OpenBMI,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,14,0.71,0.7076318177235609,100
OpenBMI,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,19,0.7,0.6847414880201765,100
OpenBMI,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,2,0.79,0.78997899789979,100
OpenBMI,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,32,0.76,0.7591328783621036,100
OpenBMI,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,33,0.95,0.9499549594635172,100
OpenBMI,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,36,0.98,0.9799919967987194,100
OpenBMI,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,40,0.8,0.7999199679871949,100
OpenBMI,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,47,0.9299999999999999,0.9298245614035088,100
OpenBMI,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,50,0.5800000000000001,0.5625,100
OpenBMI,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,53,0.8,0.797979797979798,100
WBCIC,0,0,SUBJECT_BALANCED_ERM,1,0.9299999999999999,0.9299929992999301,200
WBCIC,0,0,SUBJECT_BALANCED_ERM,16,0.53,0.5283018867924528,200
WBCIC,0,0,SUBJECT_BALANCED_ERM,19,0.96,0.96,200
WBCIC,0,0,SUBJECT_BALANCED_ERM,21,0.8300000000000001,0.8297275641025641,200
WBCIC,0,0,SUBJECT_BALANCED_ERM,28,0.595,0.5874818568409259,200
WBCIC,0,0,SUBJECT_BALANCED_ERM,3,0.8500000000000001,0.8497596153846154,200
WBCIC,0,0,SUBJECT_BALANCED_ERM,33,0.935,0.9349853717086345,200
WBCIC,0,0,SUBJECT_BALANCED_ERM,37,0.835,0.8349958748968724,200
WBCIC,0,0,SUBJECT_BALANCED_ERM,5,0.76,0.7596153846153846,200
WBCIC,0,0,GENERIC_RESIDUAL,1,0.9299999999999999,0.9299929992999301,200
WBCIC,0,0,GENERIC_RESIDUAL,16,0.53,0.5283018867924528,200
WBCIC,0,0,GENERIC_RESIDUAL,19,0.96,0.96,200
WBCIC,0,0,GENERIC_RESIDUAL,21,0.8300000000000001,0.8297275641025641,200
WBCIC,0,0,GENERIC_RESIDUAL,28,0.595,0.5874818568409259,200
WBCIC,0,0,GENERIC_RESIDUAL,3,0.8500000000000001,0.8497596153846154,200
WBCIC,0,0,GENERIC_RESIDUAL,33,0.935,0.9349853717086345,200
WBCIC,0,0,GENERIC_RESIDUAL,37,0.835,0.8349958748968724,200
WBCIC,0,0,GENERIC_RESIDUAL,5,0.76,0.7596153846153846,200
WBCIC,0,0,GENERIC_PROTOTYPE_RESIDUAL,1,0.9299999999999999,0.9299929992999301,200
WBCIC,0,0,GENERIC_PROTOTYPE_RESIDUAL,16,0.5349999999999999,0.5330270392407923,200
WBCIC,0,0,GENERIC_PROTOTYPE_RESIDUAL,19,0.96,0.96,200
WBCIC,0,0,GENERIC_PROTOTYPE_RESIDUAL,21,0.8300000000000001,0.8297275641025641,200
WBCIC,0,0,GENERIC_PROTOTYPE_RESIDUAL,28,0.595,0.5874818568409259,200
WBCIC,0,0,GENERIC_PROTOTYPE_RESIDUAL,3,0.8500000000000001,0.8497596153846154,200
WBCIC,0,0,GENERIC_PROTOTYPE_RESIDUAL,33,0.935,0.9349853717086345,200
WBCIC,0,0,GENERIC_PROTOTYPE_RESIDUAL,37,0.835,0.8349958748968724,200
WBCIC,0,0,GENERIC_PROTOTYPE_RESIDUAL,5,0.76,0.7596153846153846,200
WBCIC,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,1,0.9299999999999999,0.9299929992999301,200
WBCIC,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,16,0.525,0.5215431492533555,200
WBCIC,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,19,0.96,0.96,200
WBCIC,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,21,0.8300000000000001,0.8297275641025641,200
WBCIC,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,28,0.605,0.5987301587301588,200
WBCIC,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,3,0.8500000000000001,0.8497596153846154,200
WBCIC,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,33,0.935,0.9349853717086345,200
WBCIC,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,37,0.835,0.8349958748968724,200
WBCIC,0,0,CROSS_SUBJECT_SESSION_RELATION_RESIDUAL,5,0.76,0.7596153846153846,200
