candidate,mean_S2_validation_BA,fold_scores,epochs,id,learning_rate,weight_decay
GEN_LINEAR_LR1E3_E25,0.7901666666666666,"[0.7341666666666666, 0.7883333333333333, 0.8508333333333333, 0.7608333333333333, 0.8166666666666667]",25,GEN_LINEAR_LR1E3_E25,0.001,0.0005
GEN_LINEAR_LR3E4_E40,0.7889999999999999,"[0.7316666666666667, 0.7866666666666666, 0.8483333333333334, 0.7633333333333334, 0.815]",40,GEN_LINEAR_LR3E4_E40,0.0003,0.0005
GEN_LINEAR_LR3E4_E25,0.7868333333333334,"[0.7258333333333333, 0.7841666666666667, 0.8491666666666666, 0.7625, 0.8125]",25,GEN_LINEAR_LR3E4_E25,0.0003,0.0005
