fold,subject,method,draw,Frozen_BA,BA,delta_BA_vs_Frozen,delta_BA_vs_Generic
0.0,sub-1,Frozen,0,0.51,0.51,0.0,-0.395
0.0,sub-1,Generic,0,0.51,0.905,0.395,0.0
0.0,sub-1,IdentityGuard,0,0.51,0.915,0.405,0.010000000000000009
0.0,sub-1,PCAGuard,0,0.51,0.905,0.395,0.0
0.0,sub-1,PERSISTGuard,0,0.51,0.905,0.395,0.0
0.0,sub-1,PersistenceGuard,0,0.51,0.8999999999999999,0.3899999999999999,-0.0050000000000001155
0.0,sub-1,RandomGuard,mean,0.51,0.9016666666666667,0.39166666666666666,-0.0033333333333332993
0.0,sub-16,Frozen,0,0.5,0.5,0.0,-0.010000000000000009
0.0,sub-16,Generic,0,0.5,0.51,0.010000000000000009,0.0
0.0,sub-16,IdentityGuard,0,0.5,0.515,0.015000000000000013,0.0050000000000000044
0.0,sub-16,PCAGuard,0,0.5,0.51,0.010000000000000009,0.0
0.0,sub-16,PERSISTGuard,0,0.5,0.51,0.010000000000000009,0.0
0.0,sub-16,PersistenceGuard,0,0.5,0.515,0.015000000000000013,0.0050000000000000044
0.0,sub-16,RandomGuard,mean,0.5,0.5116666666666666,0.011666666666666678,0.0016666666666665941
0.0,sub-19,Frozen,0,0.7,0.7,0.0,-0.21000000000000008
0.0,sub-19,Generic,0,0.7,0.91,0.21000000000000008,0.0
0.0,sub-19,IdentityGuard,0,0.7,0.91,0.21000000000000008,0.0
0.0,sub-19,PCAGuard,0,0.7,0.91,0.21000000000000008,0.0
0.0,sub-19,PERSISTGuard,0,0.7,0.91,0.21000000000000008,0.0
0.0,sub-19,PersistenceGuard,0,0.7,0.915,0.21500000000000008,0.0050000000000000044
0.0,sub-19,RandomGuard,mean,0.6999999999999998,0.9133333333333334,0.2133333333333334,0.0033333333333334103
0.0,sub-21,Frozen,0,0.5700000000000001,0.5700000000000001,0.0,-0.22499999999999998
0.0,sub-21,Generic,0,0.5700000000000001,0.795,0.22499999999999998,0.0
0.0,sub-21,IdentityGuard,0,0.5700000000000001,0.79,0.21999999999999997,-0.0050000000000000044
