fold,subject,method,draw,decision_response_drift
1.0,sub-44,Generic,0,2.9348010165947707
1.0,sub-44,IdentityGuard,0,2.684336862283804
1.0,sub-44,PCAGuard,0,1.8769604432010245
1.0,sub-44,PERSISTGuard,0,2.51085258482293
1.0,sub-44,PersistenceGuard,0,2.8845747060713105
1.0,sub-44,RandomGuard,mean,2.929827226915666
1.0,sub-45,Frozen,0,0.0
1.0,sub-45,Generic,0,2.9348010165947707
1.0,sub-45,IdentityGuard,0,2.684336862283804
1.0,sub-45,PCAGuard,0,1.8769604432010245
1.0,sub-45,PERSISTGuard,0,2.51085258482293
1.0,sub-45,PersistenceGuard,0,2.8845747060713105
1.0,sub-45,RandomGuard,mean,2.929827226915666
2.0,sub-22,Frozen,0,0.0
2.0,sub-22,Generic,0,0.3896603622754247
2.0,sub-22,IdentityGuard,0,0.38998107981745384
2.0,sub-22,PCAGuard,0,0.42439493551564983
2.0,sub-22,PERSISTGuard,0,0.44722639918599294
2.0,sub-22,PersistenceGuard,0,0.3678274425678162
2.0,sub-22,RandomGuard,mean,0.40668135850443526
2.0,sub-25,Frozen,0,0.0
2.0,sub-25,Generic,0,0.3896603622754247
2.0,sub-25,IdentityGuard,0,0.38998107981745384
2.0,sub-25,PCAGuard,0,0.42439493551564983
2.0,sub-25,PERSISTGuard,0,0.44722639918599294
2.0,sub-25,PersistenceGuard,0,0.3678274425678162
2.0,sub-25,RandomGuard,mean,0.40668135850443526
2.0,sub-26,Frozen,0,0.0
2.0,sub-26,Generic,0,0.3896603622754247
2.0,sub-26,IdentityGuard,0,0.38998107981745384
2.0,sub-26,PCAGuard,0,0.42439493551564983
2.0,sub-26,PERSISTGuard,0,0.44722639918599294
2.0,sub-26,PersistenceGuard,0,0.3678274425678162
2.0,sub-26,RandomGuard,mean,0.40668135850443526
2.0,sub-29,Frozen,0,0.0
2.0,sub-29,Generic,0,0.3896603622754247
2.0,sub-29,IdentityGuard,0,0.38998107981745384
2.0,sub-29,PCAGuard,0,0.42439493551564983
2.0,sub-29,PERSISTGuard,0,0.44722639918599294
2.0,sub-29,PersistenceGuard,0,0.3678274425678162
2.0,sub-29,RandomGuard,mean,0.40668135850443526
2.0,sub-34,Frozen,0,0.0
2.0,sub-34,Generic,0,0.3896603622754247
2.0,sub-34,IdentityGuard,0,0.38998107981745384
2.0,sub-34,PCAGuard,0,0.42439493551564983
2.0,sub-34,PERSISTGuard,0,0.44722639918599294
2.0,sub-34,PersistenceGuard,0,0.3678274425678162
