task,model,BA,macro_F1,accuracy,delta_vs_B0_pp
OpenBMI_MI,B0,0.7448571428571429,0.7371565373269794,0.7448571428571429,0.0
OpenBMI_MI,W0R0,0.743,0.7335694124412064,0.743,-0.18571428571428905
