task,model,BA,macro_F1,accuracy,delta_vs_B0_pp
OpenBMI_MI,B0,0.7915,0.7876279401445143,0.7915,0.0
OpenBMI_MI,W0R0,0.7935,0.7897894275449413,0.7935,0.20000000000000018
