task,fold,n_train_trials,representation_max_abs_diff,logits_max_abs_diff,prediction_exact_match,parameters_trainable,frozen_state_unchanged,status
OpenBMI_MI,0,64,0.0,0.0,True,0,True,PASS
OpenBMI_MI,1,64,0.0,0.0,True,0,True,PASS
OpenBMI_MI,2,64,0.0,0.0,True,0,True,PASS
OpenBMI_MI,3,64,0.0,0.0,True,0,True,PASS
OpenBMI_MI,4,64,0.0,0.0,True,0,True,PASS
OpenBMI_ERP,0,64,0.0,0.0,True,0,True,PASS
OpenBMI_ERP,1,64,0.0,0.0,True,0,True,PASS
OpenBMI_ERP,2,64,0.0,0.0,True,0,True,PASS
OpenBMI_ERP,3,64,0.0,0.0,True,0,True,PASS
OpenBMI_ERP,4,64,0.0,0.0,True,0,True,PASS
OpenBMI_SSVEP,0,64,0.0,0.0,True,0,True,PASS
OpenBMI_SSVEP,1,64,0.0,0.0,True,0,True,PASS
OpenBMI_SSVEP,2,64,0.0,0.0,True,0,True,PASS
OpenBMI_SSVEP,3,64,0.0,0.0,True,0,True,PASS
OpenBMI_SSVEP,4,64,0.0,0.0,True,0,True,PASS
WBCIC_MI,0,64,0.0,0.0,True,0,True,PASS
WBCIC_MI,1,64,0.0,0.0,True,0,True,PASS
WBCIC_MI,2,64,0.0,0.0,True,0,True,PASS
WBCIC_MI,3,64,0.0,0.0,True,0,True,PASS
WBCIC_MI,4,64,0.0,0.0,True,0,True,PASS
