task,fold,direction,U_P_subject_equal_mean,CI95_lower,CI95_upper,biological_subjects,bootstrap_draws,bootstrap_seed,class,PCA_explained_variance_fraction,primary_r,positive_only_r,utility_scale_S
OpenBMI_MI,0,0,-0.003390922595781376,-0.00577966682612896,-0.0011426552664488554,40,20000,73812513,C_MINUS,0.026401473209261894,0.9557911157608032,1.0,0.0383511384789017
OpenBMI_MI,0,1,0.012085038936857018,0.00611272593960166,0.01811811327934265,40,20000,73812513,C_PLUS,0.018361855298280716,1.157557725906372,1.157557725906372,0.0383511384789017
OpenBMI_MI,0,2,0.0013269093107510343,-0.0006249608704820275,0.0032402256038039923,40,20000,73812513,C_ZERO,0.017153633758425713,1.0,1.0,0.0383511384789017
OpenBMI_MI,0,3,0.004149157900792488,0.0012950581731274724,0.007121919188648462,40,20000,73812513,C_PLUS,0.017035244032740593,1.0540943145751953,1.0540943145751953,0.0383511384789017
OpenBMI_MI,0,4,0.0031366523583074013,0.001310979132540524,0.005040185060352087,40,20000,73812513,C_PLUS,0.015114889480173588,1.0408939123153687,1.0408939123153687,0.0383511384789017
OpenBMI_MI,0,5,0.0008037808700009919,-0.0007897549076005816,0.002577550243586302,40,20000,73812513,C_ZERO,0.014103016816079617,1.0,1.0,0.0383511384789017
OpenBMI_MI,0,6,0.020462634094292297,0.013515708968043327,0.027737433090806007,40,20000,73812513,C_PLUS,0.012551923282444477,1.2667800188064575,1.2667800188064575,0.0383511384789017
OpenBMI_MI,0,7,0.007325572051195195,0.004502539057284594,0.010072200559079647,40,20000,73812513,C_PLUS,0.01194064412266016,1.0955065488815308,1.0955065488815308,0.0383511384789017
OpenBMI_MI,0,8,0.0383511384789017,0.028831686824560165,0.04813137650489807,40,20000,73812513,C_PLUS,0.011765217408537865,1.5,1.5,0.0383511384789017
OpenBMI_MI,0,9,-0.0018936401298560667,-0.005958917085081339,0.0019604088738560677,40,20000,73812513,C_ZERO,0.011047081090509892,1.0,1.0,0.0383511384789017
OpenBMI_MI,0,10,0.004947298408842471,0.001419292762875557,0.008508255705237389,40,20000,73812513,C_PLUS,0.010436170734465122,1.0644999742507935,1.0644999742507935,0.0383511384789017
OpenBMI_MI,0,11,0.0004576897890729015,-0.0013842899352312088,0.0023343218490481377,40,20000,73812513,C_ZERO,0.009990094229578972,1.0,1.0,0.0383511384789017
OpenBMI_MI,0,12,0.001301341270936973,-0.0007069999119266868,0.0032685210462659597,40,20000,73812513,C_ZERO,0.009666109457612038,1.0,1.0,0.0383511384789017
OpenBMI_MI,0,13,-0.001958966302117915,-0.00408156355842948,0.00021863245638087392,40,20000,73812513,C_ZERO,0.008829996921122074,1.0,1.0,0.0383511384789017
OpenBMI_MI,0,14,-0.0003175957331677637,-0.0026076396461576223,0.001977431820705533,40,20000,73812513,C_ZERO,0.00867402646690607,1.0,1.0,0.0383511384789017
OpenBMI_MI,0,15,0.0018698376992688282,-0.0018741254461929202,0.0057877302169799805,40,20000,73812513,C_ZERO,0.008343232795596123,1.0,1.0,0.0383511384789017
OpenBMI_MI,1,0,0.005642736977461027,0.0032322255428880453,0.008065073750913143,40,20000,811912443,C_PLUS,0.02764013223350048,1.152137041091919,1.152137041091919,0.018544909999036463
OpenBMI_MI,1,1,8.326254210260231e-05,-0.002062669023871422,0.0023370140697807074,40,20000,811912443,C_ZERO,0.018284235149621964,1.0,1.0,0.018544909999036463
OpenBMI_MI,1,2,0.0011735335662706348,-7.955496403155848e-05,0.002467431826516986,40,20000,811912443,C_ZERO,0.015923116356134415,1.0,1.0,0.018544909999036463
OpenBMI_MI,1,3,-0.0010692074304529341,-0.0037229296285659075,0.0014891918981447816,40,20000,811912443,C_ZERO,0.014423074200749397,1.0,1.0,0.018544909999036463
OpenBMI_MI,1,4,0.018544909999036463,0.013298816978931427,0.02409610152244568,40,20000,811912443,C_PLUS,0.013792215846478939,1.5,1.5,0.018544909999036463
