task,fold,projector_sha256,qs_hash,qd_hash,spatial_rank,successor_rank,qs_orthogonality_error,qd_orthogonality_error,spatial_decomposition_reconstruction_max_abs_error,successor_decomposition_reconstruction_max_abs_error,final_refit_normalizer_sha256
OpenBMI_MI,0,3cc882ff7351917822bac8ecf4adfd7ed140720a6cfd5a290c5a06c721f17521,dc20ea733f4086a3c44c6b2e2356bd452f9ac2b9cda1c863bf6320318b8f80c5,995492d9d269600f02901b45d259c113662af218bdf66a44aa939267a5084b05,5,5,1.1920928955078125e-07,2.384185791015625e-07,0.0,1.7763568394002505e-15,5e6306dbc2e8312ef83f45bd12a1869931bac421b978b0251f8c3ad4b23d45a0
OpenBMI_MI,1,035f1a9f97f8585e4b0acd6f567af74b8a8f6fac703156430803041e36481e1d,dc271951fe666867c915eb6cd957dabd1f1a6ba37e8aec584a432154d04510e9,54ef58f1bb426d45316b7a6ea83bcba3fe238bb6f9731c8d703fa0730133bb54,6,6,2.384185791015625e-07,3.5762786865234375e-07,0.0,3.552713678800501e-15,5e6306dbc2e8312ef83f45bd12a1869931bac421b978b0251f8c3ad4b23d45a0
OpenBMI_MI,2,7a2e15b852a39b06d9c189c3de5993f2b8ecd3c6c7592aaa4709c011a00a0e7b,b7c4f922216737eab115b5e86a6b2237619fe237100826a5c1e82c311522d198,3085c5dc2367a070c27f2afae2b858f5f6ae3caf13af1d300edc36aea54f098e,4,4,2.384185791015625e-07,1.1920928955078125e-07,0.0,1.7763568394002505e-15,5e6306dbc2e8312ef83f45bd12a1869931bac421b978b0251f8c3ad4b23d45a0
OpenBMI_MI,3,6ca4827c86e3078e9b728bc04e8a444a1ae31cce686a5dbfd04e6ace480c00ad,4438ebcb9b4c9e4e23c495fd427b2f575a7d68ca0c153ca1e2f115d15d78e613,8b950ad48bf1cd8b6303d7a044209c41125932c4634faa0db4ce6c466d90d2d6,4,4,1.1920928955078125e-07,4.76837158203125e-07,0.0,1.7763568394002505e-15,5e6306dbc2e8312ef83f45bd12a1869931bac421b978b0251f8c3ad4b23d45a0
OpenBMI_MI,4,51530b187bee31fbe77a3fa30a3e452bab05b53589cb88a104b34cd41c883a98,9ca04bc2e34fab994c30ddef02e9c0b33e3a920137ef85ab1df859b16fcc8219,15dfff5a0921d414a347a91137260c41f522a064f83ac00e464088445237bab1,4,4,1.1920928955078125e-07,3.5762786865234375e-07,0.0,8.881784197001252e-16,5e6306dbc2e8312ef83f45bd12a1869931bac421b978b0251f8c3ad4b23d45a0
OpenBMI_ERP,0,2a98769a6b4891a77bbd4980f4c871ec0422ed3f29685eb3efd908eba5f72101,2c0683cc7935aeeed2eee13baf6bc322f46514d6b38bd1ba7a591c620cc81749,bb082a41adfff23ce384783bceecc7d48955f0a2ab5f0e7c03c9c8540f14d95f,9,9,2.384185791015625e-07,2.384185791015625e-07,0.0,8.881784197001252e-16,fc5aff80215fb7db0a65f54647ced36cdd76a0bfe86e10afea7dc630212b6d21
OpenBMI_ERP,1,16b3fd6a923b36d205fb042d075ba586d12609059edbcd6af1566f142f767238,1b978cfd88389a6c450bdc6e9ff19fd5786c7a997a345795f6f4e3671327f931,e28c216f564282420e7676e1dc9d3b70de754da248c266c39cd585166e27e197,9,9,1.7881393432617188e-07,2.384185791015625e-07,0.0,8.881784197001252e-16,fc5aff80215fb7db0a65f54647ced36cdd76a0bfe86e10afea7dc630212b6d21
OpenBMI_ERP,2,281ef54cd0df43da9a299d8b51b3ccd15589b4c70645c5a45a415ae79965da60,801cd1a9e89cbd422f2e6a14b740c3bb09d5078cb536228b1308bf4f766110af,fc95ed6c31394ead4cfbe2dad350fe92e5e20b59c651e121473271c72cb21b55,8,8,3.5762786865234375e-07,1.7881393432617188e-07,0.0,8.881784197001252e-16,fc5aff80215fb7db0a65f54647ced36cdd76a0bfe86e10afea7dc630212b6d21
OpenBMI_ERP,3,1d8e1f96e5617d5fa387b7fbe59be5d6f994b72f626877e7da719d57702038f9,d7659483105b86f1d4fef010e75fe9f58522bdef5e29671551c2c8044d968074,cb9cd73a21bc5000c5db4d05cf3c46c7392802b4060e10713a995f007445f3d3,4,4,1.7881393432617188e-07,3.5762786865234375e-07,0.0,8.881784197001252e-16,fc5aff80215fb7db0a65f54647ced36cdd76a0bfe86e10afea7dc630212b6d21
OpenBMI_ERP,4,38834449526f66185d1ef40d36f8344634f18b39c8729e1b091ebc71a5bf7105,7e6582a8afdbba959654ae2a11af15d9918cf51903fab596c578f47a468cf1f8,3ebabeba7c6295d0f6bc09ef37c0396c65080f0cf43e5638d08e155ac26a96b1,4,4,1.1920928955078125e-07,1.1920928955078125e-07,0.0,8.881784197001252e-16,fc5aff80215fb7db0a65f54647ced36cdd76a0bfe86e10afea7dc630212b6d21
OpenBMI_SSVEP,0,a0788ad3ff30ccd6eac5528dd472afb91b5229d73cfe5e8342c1fc0786a3bb2b,18cea00824db51ec24a051b3a044214aaf1a30cb06fb5a2e0bcc73c708bf7f26,ff787a61616b5893fe19a6e8045127af26aecd84db7b525c01d97f50baee2fb1,4,4,1.1920928955078125e-07,2.384185791015625e-07,0.0,4.440892098500626e-16,5ed87f71ae1fa3a51e5eb5df140aca6515d3ba9857c0e8056ad6b40dc41091b9
OpenBMI_SSVEP,1,4b121f5a79243a580d7fce098bd351eab7047f07feaeb9e74c87830d674fba72,3ad9d9f91a5df11ae36e0b35fa7147acffdffaec8ee346d86a11947112de0cc5,fc73ded0b6d6483163de08ee60e027146b924e26e65aa0dbffbcc99f194ef528,8,8,1.1920928955078125e-07,2.384185791015625e-07,0.0,4.440892098500626e-16,5ed87f71ae1fa3a51e5eb5df140aca6515d3ba9857c0e8056ad6b40dc41091b9
OpenBMI_SSVEP,2,067c9127e202dd4f65c52f880d6dae91d0f4d637605473ac6bfaf9bfb52808c9,1c74fdf05df5f4cdb3476807792b63d52a26002788885ccc497855a965d2bdbe,b6e1cc8021c345aebb52aa770369c962aa84e063116a11a3a0bf319c297251f9,4,4,2.384185791015625e-07,5.960464477539063e-08,0.0,8.881784197001252e-16,5ed87f71ae1fa3a51e5eb5df140aca6515d3ba9857c0e8056ad6b40dc41091b9
OpenBMI_SSVEP,3,f16138f865d7915059af892a6a13067712b5f16198852757a78b2919b170e00c,e58f3ddbcb2a2297528f184601a3880ec90fb6f99728bc106ba6ba9863c585ab,71cbd4c3cab0053de5a2be0378078e4ec3cf439ef591c91d89711d168898ac84,8,8,1.1920928955078125e-07,2.980232238769531e-07,0.0,4.440892098500626e-16,5ed87f71ae1fa3a51e5eb5df140aca6515d3ba9857c0e8056ad6b40dc41091b9
OpenBMI_SSVEP,4,b807a8c7ae62bc023c0ec2a4e65362c7ac34b5bbed80e873ac3332f92fcb93e6,21deda2895deba6da0802ebd2790eaa6757c5c53d7ad8b30fde9c62696b64b36,d0ba166c22163e47ad4bd4b16fa76eef39b4354f9f077b83ec6d852c4de3fe01,4,4,1.1920928955078125e-07,2.384185791015625e-07,0.0,8.881784197001252e-16,5ed87f71ae1fa3a51e5eb5df140aca6515d3ba9857c0e8056ad6b40dc41091b9
WBCIC_MI,0,820953c3752e0236acabdbcd4e74b2b786235649e2590d70b74c57ca62a06eb9,144048e20164e185b8f851514b8abf8dfb83fa17053ec121b90c1995d13c36ea,b0e3e35e5d6b7bff4ac78399086b86ee68a539b15b9b93920e2d380406bc7786,2,2,2.384185791015625e-07,1.862645149230957e-09,0.0,7.105427357601002e-15,f34355e70e0bdcdaabd8b523270393711301dd4c95d5d8bd805396d6ceafbb4d
WBCIC_MI,1,855fbbbc5b6cfee7fd865278ada09272e1d8970fb4a42a6b1a5bef95c21b6262,2153b4650fedfd5ca3619f954d9ca5780c50d7389957d13bf6fd77fc4aa27823,c5b26033d1655929b6dba616a31c4e1681bb35cc73334ffb177cab8c72c49fed,2,2,1.1920928955078125e-07,1.7881393432617188e-07,0.0,1.1102230246251565e-16,f34355e70e0bdcdaabd8b523270393711301dd4c95d5d8bd805396d6ceafbb4d
WBCIC_MI,2,036b521b10dc6dfb81c71c0e53ee75b7caf57a8b33954654556347ed13275335,ef3ef4a861cf0910b68bd314e0040c873cdd69f68955fd852f801c911e82b423,503c1ce5e2cc33ef2635c72428d84c262f47192ce96783f2d9cb70effc7fe4cb,2,2,1.1920928955078125e-07,2.384185791015625e-07,0.0,5.684341886080802e-14,f34355e70e0bdcdaabd8b523270393711301dd4c95d5d8bd805396d6ceafbb4d
WBCIC_MI,3,016ce25218e44b69c938402917f38a811136ee6ec035a5714e814e0959d6cd5e,cd91e3b7aea97b6d52826d980ef1fcb4be0abbd256c92c96d86f38d04b7ae55a,82440f0cb7edc66f1e84f3834ee68f19b8fd11d66ae2e6c3116d5a6985006f52,1,1,0.0,0.0,0.0,3.552713678800501e-15,f34355e70e0bdcdaabd8b523270393711301dd4c95d5d8bd805396d6ceafbb4d
WBCIC_MI,4,c7e5aa86388f6eecea89a56babcf804cedb350a41780fddd5d3f7972077d6e8f,fdec2b37d63885fac5dec936fbb240aa1444db480fffcc8f86e7e5a7af403808,5ef623edcc768ce68ad51fa563e20e594ae4542f00a558a3cd9bd6b03e0b9f4c,1,1,0.0,5.960464477539063e-08,0.0,3.552713678800501e-15,f34355e70e0bdcdaabd8b523270393711301dd4c95d5d8bd805396d6ceafbb4d
