task,contrast,comparator_variant,metric,difference,CI95_low,CI95_high,bootstrap_draws,unit,selected_best_random_draw,label
OpenBMI_MI,UGCR_V3 - BASELINE,BASELINE,BA,-0.003571428571428575,-0.012142857536673546,0.0057142856530845165,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - POSITIVE_ONLY,PCA_POSITIVE_ONLY_ROUTING,BA,0.0,0.0,0.0,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - SHUFFLED,SHUFFLED_UTILITY_ROUTING,BA,-0.0007142857142857149,-0.007857142947614193,0.007857142947614193,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - RANDOM_MEAN,RANDOM_MEAN,BA,-0.004285714285714289,-0.014285714365541935,0.0057142856530845165,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - BEST_RANDOM,RANDOM_BASIS_0,BA,-0.004285714285714289,-0.014285714365541935,0.0057142856530845165,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,POSITIVE_ONLY - BASELINE,BASELINE,BA,-0.003571428571428575,-0.012857142835855484,0.006428571417927742,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - BASELINE,BASELINE,macro_F1,-0.003997128177547342,-0.012836772948503494,0.005466603673994541,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - POSITIVE_ONLY,PCA_POSITIVE_ONLY_ROUTING,macro_F1,0.0,0.0,0.0,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - SHUFFLED,SHUFFLED_UTILITY_ROUTING,macro_F1,-0.0009019141496367353,-0.008465810678899288,0.007502858992666006,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - RANDOM_MEAN,RANDOM_MEAN,macro_F1,-0.0047096279989580535,-0.014270834624767303,0.005230356473475695,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - BEST_RANDOM,RANDOM_BASIS_0,macro_F1,-0.004709627998958061,-0.014484413899481297,0.005210242234170437,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,POSITIVE_ONLY - BASELINE,BASELINE,macro_F1,-0.003997128177547342,-0.012888590805232525,0.0054615577682852745,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - BASELINE,BASELINE,worst_session_BA,-0.0028571428571428597,-0.009285714477300644,0.0028571428265422583,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - POSITIVE_ONLY,PCA_POSITIVE_ONLY_ROUTING,worst_session_BA,0.0,0.0,0.0,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - SHUFFLED,SHUFFLED_UTILITY_ROUTING,worst_session_BA,-0.003571428571428575,-0.007857142947614193,0.0,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - RANDOM_MEAN,RANDOM_MEAN,worst_session_BA,-0.002714285714285717,-0.009285714477300644,0.003142857225611806,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - BEST_RANDOM,RANDOM_BASIS_0,worst_session_BA,-0.0021428571428571447,-0.008571428246796131,0.004285714123398066,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,POSITIVE_ONLY - BASELINE,BASELINE,worst_session_BA,-0.0028571428571428597,-0.009285714477300644,0.0028571428265422583,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - BASELINE,BASELINE,NLL,0.004665526694485119,0.0013080383650958538,0.008295637555420399,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - POSITIVE_ONLY,PCA_POSITIVE_ONLY_ROUTING,NLL,3.505498170852661e-05,-3.0167799195623957e-05,0.00011754252045648172,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - SHUFFLED,SHUFFLED_UTILITY_ROUTING,NLL,0.0037101757313523975,0.0006713270558975637,0.007293801289051771,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - RANDOM_MEAN,RANDOM_MEAN,NLL,0.0046662773404802585,0.001244309707544744,0.008380395360291004,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,UGCR_V3 - BEST_RANDOM,RANDOM_BASIS_0,NLL,0.004711825400590897,0.001316722366027534,0.008439162746071815,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,POSITIVE_ONLY - BASELINE,BASELINE,NLL,0.004630471712776593,0.0012604835210368037,0.008352277800440788,20000,biological subject,RANDOM_BASIS_0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,UGCR_V3 - BASELINE,BASELINE,BA,-0.00205627705627705,-0.004805194679647684,0.0002380952355451882,20000,biological subject,RANDOM_BASIS_4,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,UGCR_V3 - POSITIVE_ONLY,PCA_POSITIVE_ONLY_ROUTING,BA,-2.1645021645025748e-05,-6.49350622552447e-05,0.0,20000,biological subject,RANDOM_BASIS_4,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,UGCR_V3 - SHUFFLED,SHUFFLED_UTILITY_ROUTING,BA,0.0007575757575757426,-2.1645020751748234e-05,0.001623376621864736,20000,biological subject,RANDOM_BASIS_4,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,UGCR_V3 - RANDOM_MEAN,RANDOM_MEAN,BA,-0.002030303030303041,-0.004805194679647684,0.0002598484861664474,20000,biological subject,RANDOM_BASIS_4,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,UGCR_V3 - BEST_RANDOM,RANDOM_BASIS_4,BA,-0.002424242424242432,-0.005151515360921621,-0.0001298701245104894,20000,biological subject,RANDOM_BASIS_4,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,POSITIVE_ONLY - BASELINE,BASELINE,BA,-0.002034632034632024,-0.004805194679647684,0.00028192641912028193,20000,biological subject,RANDOM_BASIS_4,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,UGCR_V3 - BASELINE,BASELINE,macro_F1,0.005955659065864626,0.002973403548821807,0.008695397526025772,20000,biological subject,RANDOM_BASIS_4,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,UGCR_V3 - POSITIVE_ONLY,PCA_POSITIVE_ONLY_ROUTING,macro_F1,-5.324290088533555e-05,-0.00015972870460245758,0.0,20000,biological subject,RANDOM_BASIS_4,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,UGCR_V3 - SHUFFLED,SHUFFLED_UTILITY_ROUTING,macro_F1,0.002174915335533093,0.0013598079094663262,0.0031701484695076942,20000,biological subject,RANDOM_BASIS_4,POST_HELDOUT_DEVELOPMENT_EVALUATION
