task,fold,direction,class,U_P,primary_r,positive_only_r,shuffle_source_direction,shuffled_r,variance_fraction
OpenBMI_MI,0,0,C_MINUS,-0.003390922595781376,0.9557911157608032,1.0,9,1.0,0.026401473209261894
OpenBMI_MI,0,1,C_PLUS,0.012085038936857018,1.157557725906372,1.157557725906372,10,1.0644999742507935,0.018361855298280716
OpenBMI_MI,0,2,C_ZERO,0.0013269093107510343,1.0,1.0,5,1.0,0.017153633758425713
OpenBMI_MI,0,3,C_PLUS,0.004149157900792488,1.0540943145751953,1.0540943145751953,2,1.0,0.017035244032740593
OpenBMI_MI,0,4,C_PLUS,0.0031366523583074013,1.0408939123153687,1.0408939123153687,13,1.0,0.015114889480173588
OpenBMI_MI,0,5,C_ZERO,0.0008037808700009919,1.0,1.0,11,1.0,0.014103016816079617
OpenBMI_MI,0,6,C_PLUS,0.020462634094292297,1.2667800188064575,1.2667800188064575,12,1.0,0.012551923282444477
OpenBMI_MI,0,7,C_PLUS,0.007325572051195195,1.0955065488815308,1.0955065488815308,3,1.0540943145751953,0.01194064412266016
OpenBMI_MI,0,8,C_PLUS,0.0383511384789017,1.5,1.5,6,1.2667800188064575,0.011765217408537865
OpenBMI_MI,0,9,C_ZERO,-0.0018936401298560667,1.0,1.0,7,1.0955065488815308,0.011047081090509892
OpenBMI_MI,0,10,C_PLUS,0.004947298408842471,1.0644999742507935,1.0644999742507935,15,1.0,0.010436170734465122
OpenBMI_MI,0,11,C_ZERO,0.0004576897890729015,1.0,1.0,8,1.5,0.009990094229578972
OpenBMI_MI,0,12,C_ZERO,0.001301341270936973,1.0,1.0,14,1.0,0.009666109457612038
OpenBMI_MI,0,13,C_ZERO,-0.001958966302117915,1.0,1.0,0,0.9557911157608032,0.008829996921122074
OpenBMI_MI,0,14,C_ZERO,-0.0003175957331677637,1.0,1.0,1,1.157557725906372,0.00867402646690607
OpenBMI_MI,0,15,C_ZERO,0.0018698376992688282,1.0,1.0,4,1.0408939123153687,0.008343232795596123
OpenBMI_MI,1,0,C_PLUS,0.005642736977461027,1.152137041091919,1.152137041091919,10,1.0,0.02764013223350048
OpenBMI_MI,1,1,C_ZERO,8.326254210260231e-05,1.0,1.0,0,1.152137041091919,0.018284235149621964
OpenBMI_MI,1,2,C_ZERO,0.0011735335662706348,1.0,1.0,14,1.0,0.015923116356134415
OpenBMI_MI,1,3,C_ZERO,-0.0010692074304529341,1.0,1.0,5,1.0,0.014423074200749397
OpenBMI_MI,1,4,C_PLUS,0.018544909999036463,1.5,1.5,8,1.4032529592514038,0.013792215846478939
OpenBMI_MI,1,5,C_ZERO,-0.00027773557561090457,1.0,1.0,9,1.0,0.012613771483302116
OpenBMI_MI,1,6,C_ZERO,0.0005605214841125416,1.0,1.0,4,1.5,0.011471308767795563
OpenBMI_MI,1,7,C_ZERO,0.0010828925134774181,1.0,1.0,15,0.9256656169891357,0.011102991178631783
OpenBMI_MI,1,8,C_PLUS,0.014956580297803158,1.4032529592514038,1.4032529592514038,6,1.0,0.010298235341906548
OpenBMI_MI,1,9,C_ZERO,0.0013795311173680602,1.0,1.0,13,1.1881294250488281,0.010088046081364155
OpenBMI_MI,1,10,C_ZERO,-0.0012686387850408209,1.0,1.0,2,1.0,0.01002708449959755
OpenBMI_MI,1,11,C_PLUS,0.0039264784620172575,1.1058640480041504,1.1058640480041504,3,1.0,0.009029467590153217
OpenBMI_MI,1,12,C_ZERO,-0.0009134380536124809,1.0,1.0,1,1.0,0.008802879601716995
OpenBMI_MI,1,13,C_PLUS,0.00697768482259562,1.1881294250488281,1.1881294250488281,12,1.0,0.008478169329464436
OpenBMI_MI,1,14,C_ZERO,0.002665057572085061,1.0,1.0,11,1.1058640480041504,0.00840653944760561
OpenBMI_MI,1,15,C_MINUS,-0.002757048839384879,0.9256656169891357,1.0,7,1.0,0.007975662127137184
OpenBMI_MI,2,0,C_MINUS,-0.002008072623698354,0.9341650605201721,1.0,13,1.1183669567108154,0.02658732794225216
OpenBMI_MI,2,1,C_PLUS,0.014828118808327417,1.4861420392990112,1.4861420392990112,6,1.0,0.02054266817867756
OpenBMI_MI,2,2,C_PLUS,0.008719873108202592,1.2858823537826538,1.2858823537826538,8,1.3084688186645508,0.018478041514754295
OpenBMI_MI,2,3,C_PLUS,0.010823092537884804,1.3548367023468018,1.3548367023468018,4,1.0,0.016130909323692322
OpenBMI_MI,2,4,C_ZERO,0.0028418545774911764,1.0,1.0,3,1.3548367023468018,0.014876123517751694
OpenBMI_MI,2,5,C_MINUS,-0.0030698903936809073,0.8993532061576843,1.0,7,1.0,0.013323317281901836
OpenBMI_MI,2,6,C_ZERO,4.4100734157836997e-07,1.0,1.0,12,1.5,0.01256923470646143
OpenBMI_MI,2,7,C_ZERO,-3.3653972423053346e-06,1.0,1.0,10,1.0,0.01217582542449236
OpenBMI_MI,2,8,C_PLUS,0.00940879650952411,1.3084688186645508,1.3084688186645508,14,1.4786615371704102,0.011724499985575676
OpenBMI_MI,2,9,C_ZERO,-0.0001992133823250697,1.0,1.0,1,1.4861420392990112,0.010521129705011845
OpenBMI_MI,2,10,C_ZERO,0.002397193865817826,1.0,1.0,9,1.0,0.010231206193566322
OpenBMI_MI,2,11,C_ZERO,0.0018981588975179875,1.0,1.0,5,0.8993532061576843,0.009978017769753933
OpenBMI_MI,2,12,C_PLUS,0.015250809250483143,1.5,1.5,0,0.9341650605201721,0.009756989777088165
OpenBMI_MI,2,13,C_PLUS,0.003610384363719277,1.1183669567108154,1.1183669567108154,15,1.0,0.009198538959026337
OpenBMI_MI,2,14,C_PLUS,0.014599953269498655,1.4786615371704102,1.4786615371704102,2,1.2858823537826538,0.008669024333357811
OpenBMI_MI,2,15,C_ZERO,-0.00020537381937231204,1.0,1.0,11,1.0,0.008541052229702473
OpenBMI_MI,3,0,C_PLUS,0.0038097495991223696,1.1118438243865967,1.1118438243865967,13,1.0,0.029400398954749107
OpenBMI_MI,3,1,C_PLUS,0.017031551167860925,1.5,1.5,10,1.0,0.018597548827528954
OpenBMI_MI,3,2,C_PLUS,0.01087475925232866,1.3192533254623413,1.3192533254623413,4,1.0,0.017187578603625298
OpenBMI_MI,3,3,C_PLUS,0.0013369826793059759,1.039250135421753,1.039250135421753,2,1.3192533254623413,0.01629217155277729
OpenBMI_MI,3,4,C_ZERO,-0.0006787195698109372,1.0,1.0,5,1.2273868322372437,0.014227140694856644
