task,fold,baseline_checkpoint_sha256,normalizer_sha256,split_sha256,V1_V2_hash_match,new_trainable_parameters,model_state
OpenBMI_MI,0,47709dfb51a71085a30b7e7c3a0630e03f6ede2f81148988f3d383328568ffb4,5e6306dbc2e8312ef83f45bd12a1869931bac421b978b0251f8c3ad4b23d45a0,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_MI,1,66ea1044181e5e8a816b87f0f93e011e0613233e1de9e8bd12c74e9d791e6cf2,5e6306dbc2e8312ef83f45bd12a1869931bac421b978b0251f8c3ad4b23d45a0,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_MI,2,af96aa26aded8340c30684808373828e8759e2dbec11fc7afc3e5993695a6eb3,5e6306dbc2e8312ef83f45bd12a1869931bac421b978b0251f8c3ad4b23d45a0,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_MI,3,ae1255135750f076b6e3d0b710a93efda6f09b1f42c861015121cac1750e36ca,5e6306dbc2e8312ef83f45bd12a1869931bac421b978b0251f8c3ad4b23d45a0,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_MI,4,1e46394f1dcbc7e7a7c1499d8c1135dba41a35016ae3f8d92014b40754f3d026,5e6306dbc2e8312ef83f45bd12a1869931bac421b978b0251f8c3ad4b23d45a0,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_ERP,0,164f7400819ad4b7b5a1bbd44ad9eb47042e0f30f53196ebc14b840931b0e484,fc5aff80215fb7db0a65f54647ced36cdd76a0bfe86e10afea7dc630212b6d21,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_ERP,1,6a25cc1fee3e0ae5e124aa6b01eb1b558cfb8836220453742bffcd84b7ec2a28,fc5aff80215fb7db0a65f54647ced36cdd76a0bfe86e10afea7dc630212b6d21,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_ERP,2,cca30fd67ed2da428172cfff14c4f818100f177dda473b80c6a66301968bbe51,fc5aff80215fb7db0a65f54647ced36cdd76a0bfe86e10afea7dc630212b6d21,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_ERP,3,0f3865e08dee1a280adb5667eb1dd2ffd7e21646d90dfdaf9ce9bbcca7e9336b,fc5aff80215fb7db0a65f54647ced36cdd76a0bfe86e10afea7dc630212b6d21,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
OpenBMI_ERP,4,2cba89d35f5d16980c40599f6498a2d72d3e91a0b774bfc0331ba9bf24f4babe,fc5aff80215fb7db0a65f54647ced36cdd76a0bfe86e10afea7dc630212b6d21,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,True,0,all parameters and BN buffers frozen
