task,subject,session,variant,BA,macro_F1,NLL,trials,label
OpenBMI_MI,17,S1,RANDOM_BASIS_3,0.77,0.769792813532179,0.4613335132598877,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S1,RANDOM_BASIS_4,0.77,0.769792813532179,0.46135666966438293,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,BASELINE,0.65,0.6496847162446202,0.6491414904594421,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,PCA_POSITIVE_ONLY_ROUTING,0.65,0.6496847162446202,0.6523804664611816,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,SHUFFLED_UTILITY_ROUTING,0.6499999999999999,0.6491228070175439,0.6498479247093201,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,PCA_SIGNED_UTILITY_ROUTING,0.65,0.6496847162446202,0.652492344379425,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,RANDOM_BASIS_0,0.65,0.6496847162446202,0.6490554213523865,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,RANDOM_BASIS_1,0.65,0.6496847162446202,0.6491752862930298,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,RANDOM_BASIS_2,0.65,0.6496847162446202,0.6491438150405884,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,RANDOM_BASIS_3,0.65,0.6496847162446202,0.6489942073822021,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,RANDOM_BASIS_4,0.65,0.6496847162446202,0.6490816473960876,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,24,S1,BASELINE,0.62,0.6100164203612479,0.7074960470199585,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,24,S1,PCA_POSITIVE_ONLY_ROUTING,0.6,0.586606035551881,0.7226556539535522,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,24,S1,SHUFFLED_UTILITY_ROUTING,0.62,0.6100164203612479,0.7128995656967163,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,24,S1,PCA_SIGNED_UTILITY_ROUTING,0.6,0.586606035551881,0.7223725914955139,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,24,S1,RANDOM_BASIS_0,0.62,0.6100164203612479,0.7074833512306213,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,24,S1,RANDOM_BASIS_1,0.62,0.6100164203612479,0.7073352336883545,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,24,S1,RANDOM_BASIS_2,0.62,0.6100164203612479,0.7075810432434082,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,24,S1,RANDOM_BASIS_3,0.62,0.6100164203612479,0.7079856395721436,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,24,S1,RANDOM_BASIS_4,0.62,0.6100164203612479,0.7075893878936768,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
