task,subject,session,variant,baseline_errors_rescued,baseline_correct_damaged,trials,label,Cplus_energy_fraction_rescued_mean,Cplus_energy_fraction_damaged_mean,Cminus_energy_fraction_rescued_mean,Cminus_energy_fraction_damaged_mean,high_abs_utility_energy_fraction_rescued_mean,high_abs_utility_energy_fraction_damaged_mean,p_movement_relative_rescued_mean,p_movement_relative_damaged_mean,c_preservation_max_abs_rescued_mean,c_preservation_max_abs_damaged_mean
OpenBMI_MI,4,S1,PCA_POSITIVE_ONLY_ROUTING,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,4,S1,SHUFFLED_UTILITY_ROUTING,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,4,S1,PCA_SIGNED_UTILITY_ROUTING,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,4,S1,RANDOM_BASIS_0,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,4,S1,RANDOM_BASIS_1,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,4,S1,RANDOM_BASIS_2,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,4,S1,RANDOM_BASIS_3,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,4,S1,RANDOM_BASIS_4,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,12,S1,PCA_POSITIVE_ONLY_ROUTING,0,1,100,POST_HOC_HELDOUT_DIAGNOSTIC,,0.029042940586805344,,0.004961525090038776,,0.014287357218563557,,0.05974989011883736,,2.1457671550706436e-07
OpenBMI_MI,12,S1,SHUFFLED_UTILITY_ROUTING,1,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,0.03389188274741173,,0.003850166220217943,,0.025079911574721336,,0.09858164191246033,,2.8610230629055877e-07,
OpenBMI_MI,12,S1,PCA_SIGNED_UTILITY_ROUTING,0,1,100,POST_HOC_HELDOUT_DIAGNOSTIC,,0.029042940586805344,,0.004961525090038776,,0.014287357218563557,,0.059596456587314606,,1.9073486612342094e-07
OpenBMI_MI,12,S1,RANDOM_BASIS_0,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,12,S1,RANDOM_BASIS_1,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,12,S1,RANDOM_BASIS_2,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,12,S1,RANDOM_BASIS_3,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,12,S1,RANDOM_BASIS_4,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,13,S1,PCA_POSITIVE_ONLY_ROUTING,2,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,0.04609262943267822,,0.008473064750432968,,0.03211966156959534,,0.07665833830833435,,1.9073485191256623e-07,
OpenBMI_MI,13,S1,SHUFFLED_UTILITY_ROUTING,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,13,S1,PCA_SIGNED_UTILITY_ROUTING,2,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,0.04609262943267822,,0.008473064750432968,,0.03211966156959534,,0.0775817260146141,,1.7881393432617188e-07,
OpenBMI_MI,13,S1,RANDOM_BASIS_0,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,13,S1,RANDOM_BASIS_1,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,13,S1,RANDOM_BASIS_2,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,13,S1,RANDOM_BASIS_3,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,13,S1,RANDOM_BASIS_4,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,17,S1,PCA_POSITIVE_ONLY_ROUTING,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,17,S1,SHUFFLED_UTILITY_ROUTING,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,17,S1,PCA_SIGNED_UTILITY_ROUTING,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
OpenBMI_MI,17,S1,RANDOM_BASIS_0,0,0,100,POST_HOC_HELDOUT_DIAGNOSTIC,,,,,,,,,,
